CIVILIAN LABOR FORCE,,,,,,,,,
NECTA DIVISIONS OF THE BOSTON-CAMBRIDGE-QUINCY METROPOLITAN NECTA,,,,,,,,,
"('000s, NOT SEASONALLY ADJUSTED)",,,,,,,,,
,,,,,,,,,
Source: U.S. Bureau of Labor Statistics.,,,,,,,,,
,,,,,,,,,
DATE,Boston-Cambridge-Quincy,Brockton-Bridgewater-Easton,Framingham,Haverhill-North Andover-Amesbury,Lawrence-Methuen-Salem,Lowell-Billerica-Chelmsford,Peabody,Taunton-Norton-Raynham,"Nashua, NH"
--------------------------------------------------------------------,,,,,,,,,
Jan-90,1383.7,92.5,136.4,88.1,75.2,171.3,81.4,66.1,146
Feb-90,1381.4,92.4,136,87.9,75.2,170.7,81.4,66,145.2
Mar-90,1391.9,93,136.7,88.3,75.3,170.6,82.1,66.5,146.1
Apr-90,1384.2,92.7,135.7,88,75.3,170.1,81.4,65.8,144.7
May-90,1388.3,92.8,136,88,75.1,171.1,81.7,65.9,145.3
Jun-90,1415.5,93.8,138.6,89.2,76,173.1,83.4,66.9,147.4
Jul-90,1421.7,90.9,139.5,89.3,75.9,173.8,84.1,66.4,147.1
Aug-90,1415.5,90.8,139.1,89.3,76.3,173.5,83.7,66.1,146.6
Sep-90,1381,91.9,135.4,87.5,75,173.1,81.5,65,144.6
Oct-90,1389.7,92.3,136.3,88.1,75,172,82,65.3,145.3
Nov-90,1392,93,136.6,88.8,75,171.7,82.2,65.8,145.4
Dec-90,1387.4,92.6,136.3,88.3,74.9,171.4,82,65.8,145.4
Jan-91,1369.2,91.9,135.3,89.3,75.5,172.7,81.9,66.9,141.4
Feb-91,1368.8,91.5,135,88.9,75.1,172,81.6,66.8,139.7
Mar-91,1373.7,91.9,135.4,88.8,74.9,171.7,82,66.8,140
Apr-91,1372.4,91.8,135.3,88.3,74.6,171.4,81.8,66.2,138.7
May-91,1368.9,91.8,134.6,87.8,74.7,171.8,81.4,66,139.5
Jun-91,1400.4,93.3,137.7,89.2,76.4,175,83.4,67.3,141.3
Jul-91,1411.4,90.1,138.6,89.5,76.2,170.8,84,66.7,141.5
Aug-91,1402.2,90,137.8,89.5,76.5,169.4,83.3,66.2,140.8
Sep-91,1374.1,92.2,135,87.6,74.9,169.7,81.6,65.8,139.3
Oct-91,1380.9,92.4,136,87.4,74.8,170.7,81.6,65.8,140.2
Nov-91,1382.7,92,136.5,87.9,75.3,170.5,82.1,66.2,140.7
Dec-91,1375.6,91.8,136.3,87.3,74.7,168.9,81.6,66.1,139.7
Jan-92,1362.3,89.7,135.3,89.7,75.7,172.4,81.6,67.3,140.4
Feb-92,1359,88.6,135.1,89.3,75.1,171.3,81.4,67.2,139.6
Mar-92,1364.2,89,135.6,89.4,75.2,171.7,81.7,67.2,140.3
Apr-92,1360,89.6,134.7,89.1,74.7,170.1,81.3,66.5,139.7
May-92,1362.9,90.2,134.7,89.3,74.9,171.6,81.5,66.7,141
Jun-92,1393.9,92.6,137.6,91,76.5,174.7,83.4,68,143.4
Jul-92,1402.6,89.4,138.1,91.4,76.9,174.4,83.8,67.5,143.7
Aug-92,1397.3,88.8,137.7,91.2,76.5,173.9,83.2,67.2,143.3
Sep-92,1366.7,89.8,134.3,89.6,75.2,170.6,81.6,66.1,141
Oct-92,1369.2,90.6,134.7,89.6,75.1,171.2,81.4,66.1,141.7
Nov-92,1377.2,91.3,135.5,89.9,75.7,171.1,81.9,66.6,142.6
Dec-92,1375.5,90.4,135.7,89.8,75.5,170,81.8,66.7,142.9
Jan-93,1358.7,89.5,134.9,90.1,75.2,168.6,81,67.7,142.8
Feb-93,1360.2,89,134.5,90,75,167.8,80.9,67.7,141.8
Mar-93,1362.6,89.4,135.3,90.1,75,168,81,67.8,141.8
Apr-93,1355.7,89.5,134.6,89.7,74.9,168.4,80.3,66.9,140.7
May-93,1360.8,90.3,135.2,90.1,75.4,169,80.5,67,141.4
Jun-93,1385.4,92.2,137.5,92.3,77.1,171.6,81.8,68.1,143.7
Jul-93,1390.1,91.2,137.7,92.6,76.9,170.1,82.1,68.5,143.2
Aug-93,1389.3,91.5,137.5,92.5,76.7,169.6,81.8,68.3,143.6
Sep-93,1357.6,89.7,133.9,90.6,75.3,167,80.2,66.3,141.1
Oct-93,1369.6,90.1,135.4,90.9,75.2,170.1,80.7,66.7,142.2
Nov-93,1377.7,91.2,136.4,91.3,75.5,169.8,81.6,67.5,143.1
Dec-93,1377.2,89.9,136.8,91.3,75.5,168.7,81.7,67.5,143.7
Jan-94,1367.8,90.8,137.1,92,75.5,168.8,81.3,69.3,142.3
Feb-94,1368.5,90.8,137.1,91.8,75,167.7,81.2,69.6,141.2
Mar-94,1370.5,91,137.2,91.7,74.7,167.2,81.3,69.4,141.6
Apr-94,1366.8,91.5,136.4,91.4,75,166.6,81.1,68.6,140.5
May-94,1371.8,93,136.7,91.6,75.2,166.8,81,69,140.7
Jun-94,1393.8,94.9,138.6,92.8,76.4,169.8,82.2,70,143.3
Jul-94,1399.8,95.4,139.2,93.1,76.5,169.4,82.7,70.4,142
Aug-94,1402.1,95.4,139.5,93.3,76.3,170,82.5,70.2,142.1
Sep-94,1375.4,95.3,136.9,92,75.8,167.8,80.8,68.9,139.6
Oct-94,1390.5,95.7,138.8,92.6,75.6,170.2,81.8,69.3,140.8
Nov-94,1398,96.2,139.6,93.1,75.8,169.7,82.2,69.7,141.8
Dec-94,1396.1,94.8,139.8,92.8,75.8,168.5,82.1,69.6,141.8
Jan-95,1391.1,95.2,138.1,91.2,76.3,167.7,81.5,69.2,141
Feb-95,1389.3,95.6,138,91,76.2,166.7,81.3,69.5,139.9
Mar-95,1391.5,96,138.3,91.1,76.4,166.9,81.5,69.4,140.8
Apr-95,1391.2,95.6,137.5,91.3,76.7,167.9,81.4,69,140.4
May-95,1386.3,95.5,137.1,90.8,76.4,167.7,81.1,68.6,140.1
Jun-95,1409.9,97,139.6,92.5,78,171.1,82.5,69.6,142.5
Jul-95,1419,96.3,140.1,92.9,78,172.4,83.1,69.9,142
Aug-95,1413.2,96,139.7,92.5,78,172.4,82.5,69.5,142
Sep-95,1387.3,95.1,137,90.9,76,169.7,80.9,68.1,139.8
Oct-95,1400.2,96.5,138.2,92.7,78.3,170.1,81.8,68.8,141.6
Nov-95,1404.6,97,138.9,92.9,78.1,170,82.3,69,141.8
Dec-95,1399.7,95.6,138.5,92.8,78,169.8,81.9,68.8,141.4
Jan-96,1389.6,94.4,138.2,93.9,78.3,169,81.6,69.4,142.4
Feb-96,1393.2,94.8,138.4,93.6,77.9,169.5,81.8,69.5,141.6
Mar-96,1399.3,95.3,139.1,94,79.3,170.8,82.2,69.6,142.5
Apr-96,1394.8,94.7,138.4,93.4,78.7,171.1,81.7,68.8,142.1
May-96,1399.1,95.8,138.4,93.6,79,171.7,81.8,68.9,143
Jun-96,1424,96.9,141,95,80.2,175,83.3,70,145.8
Jul-96,1436.5,97.1,142.4,95.2,80,174.7,84.2,70.7,146.2
Aug-96,1431.9,96.8,142.3,94.8,79.3,173.8,83.8,70.2,146.2
Sep-96,1407.6,96.5,139.8,93.6,78.6,173,82.5,68.9,145.2
Oct-96,1420.3,97.1,141,94.2,78.9,175.3,83.2,69.6,146.3
Nov-96,1428.4,97.6,142,94.6,79,176,83.7,70.2,148
Dec-96,1429.3,97.1,142.3,94.5,78.8,175.1,83.9,70.3,147.6
Jan-97,1419.6,96.7,142.4,94.9,78.8,176.6,84.2,71.1,146.8
Feb-97,1421,97.2,142.5,94.8,78.3,176.2,84.2,71.2,145.7
Mar-97,1432.3,98.1,143.5,95.8,78.9,178,84.8,71.6,146.9
Apr-97,1424.4,97.8,142.5,95.4,78.9,177.5,84.3,71.1,146.2
May-97,1429.3,98.2,142.8,95.8,79.6,178.4,84.5,71.1,147.5
Jun-97,1451.9,99.6,144.7,97.3,81,181,85.8,72.2,150.3
Jul-97,1459.5,99.9,145.5,97.4,80.6,181.8,86.1,72.5,150
Aug-97,1456.7,98.9,145.6,97.1,80.2,181.9,86,72.2,149.9
Sep-97,1427.4,98.4,142.5,95.7,79.5,179,84.2,70.8,148.1
Oct-97,1438.7,98.6,143.8,96.3,79.7,181,84.9,71.2,149.5
Nov-97,1450,99.8,145.1,96.6,79.8,182.2,85.7,71.8,150.4
Dec-97,1449.8,99.4,145.2,96.5,79.5,181.7,85.7,71.9,150.8
Jan-98,1440.8,96.7,145.4,97.2,80.6,180.7,85.8,72.1,150.6
Feb-98,1440.3,96.9,145.4,97.3,80.5,181,85.7,72.1,149.6
Mar-98,1447,97,146,97.8,81,181.9,86.1,72.3,150.9
Apr-98,1438.6,98.4,144.8,96.9,80.5,181.7,85.6,71.8,149.6
May-98,1441.1,98.8,145,97.4,81.4,182.7,85.7,71.8,149.8
Jun-98,1463.5,100,147.1,98.9,82.7,184.8,87,72.8,151.8
Jul-98,1472.5,99.1,148.1,99.4,82.9,183.6,87.6,72.8,151.5
Aug-98,1468.5,98.7,147.9,99.2,83.3,184,87.4,72.4,151.6
Sep-98,1445.4,98.7,145.5,97.8,82.2,182.2,86.4,71.5,149.9
Oct-98,1454.3,100.1,146.6,98.2,82,185.3,87,72,151.8
Nov-98,1462.2,100.9,147.6,98.9,82.2,185.9,87.4,72.5,153.5
Dec-98,1464.7,100.4,147.9,98.8,82,185.8,87.5,72.5,154.1
Jan-99,1455.6,99.5,148.1,102.5,84.7,187.4,87.2,73.3,156.8
Feb-99,1451.5,99.6,147.8,101.8,84,186.7,86.9,73.2,155.6
Mar-99,1455.6,99.6,148.1,102.3,84.2,186.9,87,73.2,156.4
Apr-99,1445.2,100,146.6,101.8,84.5,186.4,86.1,72.6,155.5
May-99,1449.1,99.8,147,102.2,84.8,187.1,86.1,72.7,156
Jun-99,1472.1,100.7,149.3,103.7,86.3,189.8,87.5,73.6,158.1
Jul-99,1474.6,99.6,149.6,104.2,86.2,189.4,87.7,73.6,158.2
Aug-99,1469.1,99.5,149.2,103.7,85.5,188.7,87.3,73.3,158.3
Sep-99,1441.6,98.5,146.3,102.2,84.7,185.7,85.6,72,155.4
Oct-99,1450.7,99.3,147.3,102.5,84.7,187.4,86.2,72.5,156.3
Nov-99,1459.8,100.1,148.2,103.1,85.1,188.6,86.8,72.9,157.4
Dec-99,1459.3,99.8,148.4,102.8,84.7,188.2,86.7,72.9,158.3
Jan-00,1429.7,97.3,145.1,102.2,80.4,174.1,83.9,77.4,156.7
Feb-00,1428.5,97.1,144.4,101.9,80,173.8,83.5,77.1,156.4
Mar-00,1428.4,97.2,144.5,102,79.8,174,83.4,77,157.4
Apr-00,1421.6,96.7,143.7,101.3,79.1,173.5,82.9,76.8,156.3
May-00,1411.9,96,142.7,101.2,79.1,173,82.5,76.3,156.9
Jun-00,1438.2,97.8,145.9,103.1,80.9,176.1,84.2,77.7,159.5
Jul-00,1437.9,97.6,146.5,103.3,81,176,84,77,157.9
Aug-00,1437.3,97.3,146.2,103.3,81.2,176.4,83.7,76.7,157.3
Sep-00,1414.8,96,143.5,101.5,80.2,173.3,82.4,76.1,157.7
Oct-00,1428.2,96.5,145.1,101.9,80.1,174.6,83.1,76.6,159.1
Nov-00,1436.4,96.9,146.3,102.6,80.7,175.9,83.6,77.4,160.7
Dec-00,1440.7,97.3,147.3,103,81.2,175.9,83.8,77.7,161
Jan-01,1440,97.2,147.5,102.8,81.3,177.1,84.4,78,161.2
Feb-01,1443,97.4,147.1,102.5,80.9,177.3,84.3,77.9,160.8
Mar-01,1451,98.2,147.9,103.3,81.2,178.2,84.8,78.4,161.5
Apr-01,1439.2,97.7,147.2,102.5,80.6,177.9,84.4,78,160.9
May-01,1434.7,97.5,147,102.7,81.2,178,84.6,77.9,161.1
Jun-01,1457.6,98.8,149.5,104.8,83.5,180.8,86.3,79.1,163.4
Jul-01,1465.5,99.2,150.4,105,83.4,180.7,86.6,78.5,161.1
Aug-01,1457.7,98.3,149.6,104.9,83.5,180.3,86.3,78.2,159.8
Sep-01,1436.9,97.3,147.5,103.6,82.5,178.4,85,77.9,160.4
Oct-01,1446.7,98.2,148.5,104.2,82.8,179.4,85.4,78.7,160.4
Nov-01,1452,98.7,149.1,104.6,83.9,179.9,85.8,79.4,161.6
Dec-01,1453.7,98.7,149.3,105,84.3,179.5,86.1,79.6,161.3
Jan-02,1443.8,98.2,148.9,103.8,83.9,180.5,86.3,79.7,161.9
Feb-02,1451.9,98.8,149.3,103.9,83.5,181.3,86.6,80.1,161
Mar-02,1454.7,99.3,149.3,104,83.5,181.1,86.7,80.6,161.4
Apr-02,1449.1,99.2,148.5,103.9,83.6,180.9,86.4,80.2,160.7
May-02,1445.9,99.2,148.2,104,83.6,180.5,86.7,80,161.1
Jun-02,1469,100.7,150.9,105.7,85.5,183.2,88.5,81.3,162.5
Jul-02,1470.8,100.5,151.1,105.4,84.9,182.8,87.9,80.6,160.4
Aug-02,1469.8,100.5,151,105.2,85.1,182.9,88.1,80.8,160
Sep-02,1451.3,99.6,148.5,103.8,84.1,180.5,86.9,80.4,161
Oct-02,1457.2,99.4,148.8,103.7,84.2,181.6,87.1,81,161.6
Nov-02,1457.9,99.7,148.9,103.7,84,180.7,87.2,81.2,162
Dec-02,1454.5,99.2,149.1,103.3,84,179.6,87.2,81.5,162.3
Jan-03,1445.5,97.7,148.6,103.5,83.9,181,87.2,81.3,163.4
Feb-03,1443.5,97.7,148.2,103,82.9,180.6,86.8,81.1,162
Mar-03,1445.1,98.2,147.9,103.2,83.2,180.7,87,81.3,162.6
Apr-03,1440.9,98,147.3,102.4,83.1,180.1,86.4,80.8,162.6
May-03,1433,97.9,146.6,102.4,83.5,178.9,86.4,80.6,163.1
Jun-03,1457.2,99.6,149.3,104.2,85.2,182.2,88.2,82.2,165
Jul-03,1450.4,99.2,148.5,104.3,85.2,180.8,87.6,81.2,163.3
Aug-03,1446.9,99.2,148.5,103.6,85,180,87.5,81.5,162.4
Sep-03,1424.6,97.9,145.8,101.7,83.6,178,85.9,80.8,163
Oct-03,1433.6,98.3,146.8,102,83.6,178.9,86.3,81.2,164.3
Nov-03,1440.2,98.9,147.6,102.2,84.2,180.1,86.9,82,165.9
Dec-03,1434.7,98.3,147.3,101.8,83.9,179.2,86.7,81.8,165
Jan-04,1430.5,98.1,147.5,102.4,83.8,179.3,86.9,82.2,165.3
Feb-04,1427.5,97.4,146.8,101.8,82.8,178.4,86.6,81.6,164.3
Mar-04,1426,97.6,146.7,101.9,83.2,178.2,86.4,81.7,164.8
Apr-04,1417.6,97.4,145.9,101.3,82.3,177.4,85.7,81.1,165.1
May-04,1412,97.3,145.6,101.4,82.7,176.7,85.6,80.8,165.4
Jun-04,1437.1,99.2,148.5,103.4,84.4,179.4,87.4,82.2,167.3
Jul-04,1440,99,149.1,103.6,84.5,179.3,87.1,81.5,165.7
Aug-04,1433.9,98.4,148.7,103.2,84.2,178.2,87,81.5,164.9
Sep-04,1404.8,96.8,145.4,101.2,82.7,175,85.2,80.3,164.9
Oct-04,1415.5,97.6,146.7,101.4,82.6,176.3,85.7,81.1,166.6
Nov-04,1422.5,97.9,147.9,101.6,83.3,177,86.1,81.7,167.7
Dec-04,1418.1,97.4,147.7,101.4,83.1,176.4,85.9,81.8,167.5
Jan-05,1409.8,96.7,146.8,101.5,83,176.6,86,81.8,167.9
Feb-05,1411.1,96.5,146.7,101.4,82.1,176.7,85.9,81.6,167.1
