Date,House_Price_Index(S&P/Case-Shiller),Mortgage_Rate,Personal_Income,Resident_Population,Unemployment_Rate,CPI_allitems,GDP,Crime_Rate,Percent_With_Mortgage_Debt,Median_Debt,Percent_With_Severely_Delinquent_Debt,Resident_Population_1Y,GDP_1Y,Mortgage_Rate_1Y,CPI_1Y,New_Structures,Economic_Conditions_Index,,,
3/1/2005,153.995416739539000,5.88,40731,9362.080,6.2,191.300,471401.491,,43.50%,177440,1.70%,,,,,4629,1.68,,,
4/1/2005,154.603929921495000,6.05,,,6.1,193.200,,,,,,,,,,4585,2.00,,,
5/1/2005,155.274942254908000,5.82,,,6.0,193.300,,,,,,,,,,4618,1.43,,,
6/1/2005,156.073059589790000,5.69,,,6.4,194.000,,,43.50%,178915,1.60%,,,,,4476,1.44,,,
7/1/2005,156.617381635927000,5.69,,,6.0,194.200,,,,,,,,,,4920,2.00,,,
8/1/2005,156.555214772412000,5.93,,,5.5,195.800,,,,,,,,,,5641,1.80,,,
9/1/2005,157.966467793894000,5.83,,,5.5,198.300,,,43.40%,179553,1.60%,,,,,4897,1.71,,,
10/1/2005,159.153793935172000,6.04,,,5.1,197.900,,,,,,,,,,4657,1.75,,,
11/1/2005,161.324973301431000,6.36,,,5.2,197.300,,,,,,,,,,4448,1.85,,,
12/1/2005,162.646390562541000,6.34,,,5.1,196.400,,1195.605,43.10%,181901,1.60%,,,,,3988,2.01,,,
1/1/2006,164.447884888759000,6.30,43490,9398.855,5.3,197.500,494879.583,,,,,,,,,3894,2.54,,,
2/1/2006,165.921456725205000,6.33,,,5.3,197.200,,,,,,,,,,4145,2.28,,,
3/1/2006,168.016174214218000,6.34,,,4.9,197.600,,,43.80%,184554,1.60%,,,,,4504,1.86,,,
4/1/2006,167.616674624603000,6.54,,,4.8,197.700,,,,,,,,,,4167,1.56,,,
5/1/2006,167.717165281165000,6.68,,,4.4,198.400,,,,,,,,,,4883,1.29,,,
6/1/2006,167.155394824858000,6.72,,,4.8,199.000,,,44.10%,185150,1.50%,,,,,4059,1.24,,,
7/1/2006,166.556534618142000,6.83,,,4.8,199.300,,,,,,,,,,4415,0.86,,,
8/1/2006,166.019695906943000,6.70,,,4.6,200.400,,,,,,,,,,4360,0.96,,,
9/1/2006,166.452195259438000,6.50,,,4.1,199.600,,,44.20%,186682,1.70%,,,,,3390,1.06,,,
10/1/2006,166.481692928314000,6.36,,,3.7,197.500,,,,,,,,,,3569,1.11,,,
11/1/2006,166.513208320779000,6.33,,,3.9,197.900,,,,,,,,,,2783,1.25,,,
12/1/2006,166.958777446558000,6.21,,,4.2,197.800,,1181.89,44.00%,189295,1.70%,,,,,2428,1.47,,,
1/1/2007,168.265474649360000,6.27,45919,9451.936,5.2,199.401,514701.272,,,,,,,,,3916,1.49,,,
2/1/2007,169.482607452544000,6.40,,,5.1,200.630,,,,,,,,,,2834,1.14,,,
3/1/2007,171.278070405799000,6.20,,,4.5,202.483,,,43.70%,189908,1.80%,,,,,3323,1.74,,,
4/1/2007,168.767696458526000,6.21,,,4.7,204.019,,,,,,,,,,2502,1.15,,,
5/1/2007,167.370559668105000,6.20,,,4.6,205.686,,,,,,,,,,3428,1.15,,,
6/1/2007,165.974310231563000,6.54,,,5.3,206.092,,,44.40%,190693,1.80%,,,,,3327,0.83,,,
7/1/2007,164.649866884394000,6.69,,,5.3,205.561,,,,,,,,,,2651,0.40,,,
8/1/2007,162.940077998802000,6.71,,,5.0,205.813,,,,,,,,,,2824,0.34,,,
9/1/2007,161.400348896413000,6.50,,,4.7,206.454,,,44.70%,191428,2.10%,,,,,2741,0.46,,,
10/1/2007,160.303175173035000,6.45,,,4.6,206.696,,,,,,,,,,2491,0.84,,,
11/1/2007,159.626981216961000,6.31,,,4.7,207.821,,,,,,,,,,2047,1.04,,,
12/1/2007,159.351242670809000,5.95,,,5.2,207.155,,1178.714,44.20%,191683,2.40%,,,,,2115,0.94,,,
1/1/2008,157.528540236193000,6.11,46421,9515.636,5.8,208.757,509707.000,,,,,,,,,2016,0.69,,,
2/1/2008,155.969175840060000,5.74,,,5.7,209.526,,,,,,,,,,957,0.16,,,
3/1/2008,155.244296094426000,6.09,,,5.5,211.542,,,44.30%,191299,2.80%,,,,,1424,-0.01,,,
4/1/2008,153.931294783674000,5.93,,,5.2,212.662,,,,,,,,,,2520,-0.21,,,
5/1/2008,152.008420221969000,6.09,,,5.9,214.932,,,,,,,,,,1683,-0.64,,,
6/1/2008,149.960045621382000,6.15,,,6.6,215.738,,,45.30%,191631,2.90%,,,,,1473,-0.93,,,
7/1/2008,147.545742474346000,6.39,,,6.5,217.459,,,,,,,,,,1558,-1.04,,,
8/1/2008,145.938792808477000,6.55,,,6.5,215.971,,,,,,,,,,1653,-1.68,,,
9/1/2008,144.213667623787000,6.41,,,6.0,215.465,,,45.20%,190502,3.20%,,,,,968,-2.58,,,
10/1/2008,142.347578182040000,6.09,,,6.2,213.363,,,,,,,,,,1030,-3.52,,,
11/1/2008,139.526677684803000,6.30,,,6.4,209.053,,,,,,,,,,613,-4.60,,,
12/1/2008,136.711418096163000,5.53,,,7.4,205.959,,1208.601,45.00%,193656,3.80%,,,,,828,-5.39,,,
1/1/2009,132.182919952677000,5.06,43320,9580.567,8.7,207.616,500898.498,,,,,,,,,521,-6.13,,,
2/1/2009,129.403163942277000,5.20,,,9.6,207.367,,,,,,,,,,472,-6.05,,,
3/1/2009,127.335992104132000,5.19,,,9.8,207.462,,,44.60%,193843,4.60%,,,,,424,-6.12,,,
4/1/2009,125.862858717085000,4.83,,,9.7,207.886,,,,,,,,,,438,-5.76,,,
5/1/2009,125.799365309359000,4.85,,,10.1,209.809,,,,,,,,,,421,-4.43,,,
6/1/2009,124.520028283472000,5.32,,,10.8,211.010,,,44.30%,192886,5.30%,,,,,633,-3.34,,,
7/1/2009,125.923375266564000,5.36,,,10.8,210.906,,,,,,,,,,819,-2.71,,,
8/1/2009,126.639796644456000,5.32,,,10.6,211.441,,,,,,,,,,439,-2.02,,,
9/1/2009,128.165982538403000,5.15,,,10.4,211.345,,,43.70%,191133,6.10%,,,,,941,-1.41,,,
10/1/2009,127.569272930241000,4.96,,,10.6,211.708,,,,,,,,,,588,-1.00,,,
11/1/2009,127.765097773319000,5.02,,,10.4,212.206,,,,,,,,,,564,-0.59,,,
12/1/2009,127.121810921751000,4.78,,,11.0,211.185,,1125.602,43.50%,189298,6.80%,,,,,476,-0.39,,,
1/1/2010,126.838928220767000,5.11,44208,9470.634,12.2,212.104,513514.067,,,,,,,,,345,-0.15,,,
2/1/2010,126.221814524784000,5.01,,,11.9,212.456,,,,,,,,,,370,0.78,,,
3/1/2010,125.021670568957000,5.03,,,11.6,212.952,,,43.60%,189024,7.20%,,,,,561,1.30,,,
4/1/2010,124.271894822423000,5.16,,,10.8,212.929,,,,,,,,,,543,1.75,,,
5/1/2010,124.042432575720000,5.05,,,10.3,212.984,,,,,,,,,,924,1.70,,,
6/1/2010,124.020221092340000,4.83,,,10.7,212.186,,,43.60%,188762,7.00%,,,,,734,1.28,,,
7/1/2010,123.140539012591000,4.63,,,10.8,212.535,,,,,,,,,,631,1.08,,,
8/1/2010,122.245495618289000,4.49,,,10.3,212.784,,,,,,,,,,651,2.17,,,
9/1/2010,120.573176558214000,4.26,,,9.6,213.339,,,42.80%,187191,7.10%,,,,,577,2.42,,,
10/1/2010,119.223911264953000,4.27,,,9.5,213.332,,,,,,,,,,854,2.78,,,
11/1/2010,118.390872171337000,4.22,,,9.6,213.066,,,,,,,,,,363,2.33,,,
12/1/2010,118.113463760548000,4.53,,,9.4,213.778,,1002.312,41.60%,184672,7.00%,,,,,755,2.29,,,
1/1/2011,117.789240741946000,4.81,46248,9500.870,10.3,215.155,532618.914,,,,,,,,,625,2.18,,,
2/1/2011,117.146710451735000,4.88,,,10.1,216.192,,,,,,,,,,239,2.10,,,
3/1/2011,115.674210413016000,4.92,,,9.8,217.880,,,42.40%,184640,7.10%,,,,,451,2.24,,,
4/1/2011,113.668140073918000,4.91,,,9.4,218.762,,,,,,,,,,397,2.11,,,
5/1/2011,113.809388614452000,4.75,,,9.7,220.094,,,,,,,,,,615,1.62,,,
6/1/2011,114.370824474801000,4.56,,,10.6,220.182,,,42.60%,183182,6.90%,,,,,707,1.59,,,
7/1/2011,114.484764508517000,4.64,,,10.6,219.277,,,,,,,,,,487,1.81,,,
8/1/2011,114.861751300101000,4.40,,,10.5,219.688,,,,,,,,,,991,1.79,,,
9/1/2011,114.366581613181000,4.22,,,9.9,220.027,,,42.40%,181266,7.00%,,,,,758,1.76,,,
10/1/2011,113.659987887840000,3.97,,,9.7,219.592,,,,,,,,,,1094,1.81,,,
11/1/2011,111.742049293156000,4.02,,,9.1,219.181,,,,,,,,,,968,2.11,,,
12/1/2011,110.810686808714000,3.97,,,9.3,218.180,,991.747,41.70%,178795,7.30%,,,,,933,2.35,,,
1/1/2012,110.183114793858000,3.91,48761,9528.090,9.8,219.585,561292.438,,,,,,,,,235,2.64,,,
2/1/2012,109.091765218481000,3.86,,,9.7,219.626,,,,,,,,,,290,2.20,,,
3/1/2012,107.299601800172000,3.92,,,9.2,222.351,,,41.90%,177169,7.20%,,,,,974,2.05,,,
4/1/2012,107.033519943407000,4.00,,,8.6,222.416,,,,,,,,,,631,1.63,,,
5/1/2012,109.976006345055000,3.87,,,8.8,222.262,,,,,,,,,,624,1.50,,,
6/1/2012,112.025153265559000,3.64,,,9.6,222.138,,,41.50%,175909,7.00%,,,,,825,1.68,,,
7/1/2012,113.115654236130000,3.60,,,9.7,221.611,,,,,,,,,,696,1.80,,,
8/1/2012,112.973536564010000,3.56,,,9.3,222.967,,,,,,,,,,1071,2.05,,,
9/1/2012,112.817478585025000,3.53,,,8.4,223.611,,,40.90%,174464,6.90%,,,,,949,2.05,,,
10/1/2012,112.549651534652000,3.32,,,8.7,223.227,,,,,,,,,,1121,1.55,,,
11/1/2012,113.094324836311000,3.36,,,8.4,222.425,,,,,,,,,,1227,1.69,,,
12/1/2012,113.642436474737000,3.31,,,9.1,221.838,,969.14,40.20%,172982,6.50%,,,,,481,1.80,,,
1/1/2013,114.142719057527000,3.30,49675,9550.194,10.2,222.251,574315.285,,,,,,,,,390,1.78,,,
2/1/2013,114.731491975288000,3.50,,,9.9,224.681,,,,,,,,,,513,1.89,,,
3/1/2013,115.080466514274000,3.50,,,9.3,224.433,,,40.10%,171462,6.20%,,,,,1029,1.44,,,
4/1/2013,116.585024991339000,3.52,,,8.8,224.522,,,,,,,,,,1099,1.11,,,
5/1/2013,118.810471298310000,3.34,,,8.9,225.645,,,,,,,,,,1208,1.77,,,
6/1/2013,119.861178475273000,3.91,,,9.7,225.864,,,39.50%,171696,5.50%,,,,,1045,1.91,,,
7/1/2013,121.961000791066000,4.25,,,9.3,225.375,,,,,,,,,,944,2.02,,,
8/1/2013,123.153406541417000,4.38,,,9.1,225.525,,,,,,,,,,842,2.04,,,
9/1/2013,124.266965864582000,4.58,,,8.5,225.161,,,38.70%,170735,5.00%,,,,,2254,1.92,,,
10/1/2013,125.363981992145000,4.24,,,8.7,224.422,,,,,,,,,,1407,1.91,,,
11/1/2013,126.008886968722000,4.17,,,8.2,223.703,,,,,,,,,,1458,2.08,,,
12/1/2013,126.740884728549000,4.50,,,8.1,222.960,,,38.60%,170580,4.60%,,,,,701,2.02,,,crime data missing due to reporting issue
1/1/2014,126.583581266317000,4.55,52697,9560.430,8.7,225.027,603435.981,,,,,,,,,557,1.85,,,
2/1/2014,126.806570030106000,4.24,,,8.8,226.217,,,,,,,,,,633,1.93,,,
3/1/2014,127.674330943332000,4.31,,,8.2,228.784,,,39.20%,170134,4.30%,,,,,1455,2.29,,,
4/1/2014,128.356791311927000,4.41,,,7.0,229.848,,,,,,,,,,1802,2.68,,,
5/1/2014,128.240166254213000,4.28,,,7.0,229.612,,,,,,,,,,1549,2.58,,,
6/1/2014,127.857812803343000,4.12,,,7.2,230.477,,,38.50%,168444,4.00%,,,,,1590,2.38,,,
7/1/2014,127.349267070354000,4.11,,,7.3,229.633,,,,,,,,,,1708,2.07,,,
8/1/2014,127.496821138736000,4.15,,,7.0,229.753,,,,,,,,,,976,2.11,,,
9/1/2014,127.736575864522000,4.08,,,6.3,229.829,,,38.30%,167560,3.80%,,,,,1060,2.23,,,
10/1/2014,128.056159437864000,4.19,,,6.2,228.987,,,,,,,,,,1571,2.56,,,
11/1/2014,128.334500741178000,3.99,,,6.1,227.184,,,,,,,,,,986,2.40,,,
12/1/2014,128.432992511786000,3.84,,,5.9,226.262,,884,37.90%,167667,3.50%,,,,,1581,2.42,,,
1/1/2015,129.427671729032000,3.72,55508,9552.554,6.9,225.852,632200.033,,,,,,,,,416,2.03,,,
2/1/2015,130.303923830537000,3.56,,,6.5,225.763,,,,,,,,,,1448,1.95,,,
3/1/2015,130.849063500557000,3.73,,,6.0,227.405,,,38.00%,167582,3.40%,,,,,1260,2.32,,,
4/1/2015,130.505171212913000,3.68,,,5.6,227.704,,,,,,,,,,1791,2.72,,,
5/1/2015,130.149101226512000,0.78,,,5.9,228.494,,,,,,,,,,1285,2.50,,,
6/1/2015,129.748848924588000,3.83,,,6.2,228.837,,,37.30%,166271,3.00%,,,,,1567,2.32,,,
7/1/2015,129.459526998764000,4.08,,,6.1,228.588,,,,,,,,,,1282,2.11,,,
8/1/2015,129.325660542156000,3.90,,,5.8,229.527,,,,,,,,,,1578,1.89,,,
9/1/2015,129.576352832992000,3.88,,,5.3,228.826,,,37.40%,166503,2.90%,,,,,1116,1.93,,,
10/1/2015,130.013163236237000,3.82,,,5.6,228.600,,,,,,,,,,1370,1.85,,,
11/1/2015,130.913373924033000,3.88,,,5.6,227.641,,,,,,,,,,2166,1.73,,,
12/1/2015,131.407688453100000,3.92,,,5.8,226.271,,903.84,37.00%,166980,2.70%,,,,,1118,1.89,,,
1/1/2016,131.743937185387000,,56231,9533.662,6.5,227.977,641567.260,,,,,,,,,1655,1.80,,,
2/1/2016,132.052309099387000,,,,6.4,227.438,,,,,,,,,,1017,1.54,,,
3/1/2016,132.888515421967000,,,,6.2,227.778,,,37.20%,167121,2.50%,,,,,1911,1.55,,,
4/1/2016,133.521282601814000,,,,5.8,229.197,,,,,,,,,,1069,1.83,,,
5/1/2016,133.979724956772000,,,,5.3,229.247,,,,,,,,,,1482,1.22,,,
6/1/2016,133.816669674474000,,,,6.0,230.341,,,36.70%,165313,2.20%,,,,,996,1.38,,,
7/1/2016,133.811708183344000,,,,5.8,228.454,,,,,,,,,,1997,1.88,,,
8/1/2016,133.541603882117000,,,,5.7,228.956,,,,,,,,,,1519,1.67,,,
9/1/2016,133.947538211966000,,,,5.5,230.282,,,36.30%,164466,2.20%,,,,,1822,1.64,,,
10/1/2016,134.083212917683000,,,,5.5,230.506,,,,,,,,,,2955,1.76,,,
11/1/2016,135.416705509258000,,,,5.0,230.969,,,,,,,,,,1163,1.64,,,
12/1/2016,136.850119853267000,,,,5.1,230.476,,1105.48,36.10%,164465,2.10%,,,,,1072,1.34,,,
1/1/2017,137.852990848070000,,58331,9514.113,5.8,232.155,658633.034,,,,,,,,,700,1.84,,,
2/1/2017,138.150300625033000,,,,5.4,232.491,,,,,,,,,,1623,1.92,,,
3/1/2017,138.331680316040000,,,,4.7,232.225,,,36.40%,164638,2.00%,,,,,1165,1.70,,,
4/1/2017,138.204074386362000,,,,4.5,233.066,,,,,,,,,,2671,1.37,,,
5/1/2017,138.150359445966000,,,,4.4,233.443,,,,,,,,,,1201,1.43,,,
6/1/2017,138.125941397909000,,,,5.1,233.407,,,36.30%,164674,1.80%,,,,,3207,1.43,,,
7/1/2017,138.347211356128000,,,,5.1,233.514,,,,,,,,,,1140,1.44,,,
8/1/2017,138.546276415834000,,,,5.3,234.200,,,,,,,,,,1785,1.56,,,
9/1/2017,139.001793452763000,,,,4.6,235.177,,,35.80%,164838,1.80%,,,,,1810,1.79,,,
10/1/2017,139.375383473944000,,,,4.5,234.159,,,,,,,,,,1895,1.75,,,
11/1/2017,140.042768575537000,,,,4.4,235.206,,,,,,,,,,1499,1.89,,,
12/1/2017,140.240721775575000,,,,4.4,234.293,,1098.86,35.50%,164821,1.80%,,,,,1699,1.94,,,
1/1/2018,141.063546739677000,,61642,9484.158,5.0,236.267,691288.417,,,,,,,,,671,1.96,,,
2/1/2018,141.469332507364000,,,,4.8,236.306,,,,,,,,,,864,1.99,,,
3/1/2018,141.786227290933000,,,,4.1,236.388,,,36.00%,164448,1.70%,,,,,1370,1.85,,,
4/1/2018,141.763468009323000,,,,3.7,237.940,,,,,,,,,,1767,1.21,,,
5/1/2018,141.847599733838000,,,,3.5,238.910,,,,,,,,,,2161,1.49,,,
6/1/2018,141.817358730016000,,,,4.5,238.540,,,35.80%,164034,1.50%,,,,,1688,1.61,,,
7/1/2018,141.861184713799000,,,,4.3,237.870,,,,,,,,,,1282,1.62,,,
8/1/2018,142.383145749053000,,,,4.1,238.098,,,,,,,,,,1615,1.51,,,
9/1/2018,143.084705754383000,,,,3.7,238.957,,,35.80%,165003,1.40%,,,,,1583,1.35,,,
10/1/2018,143.920804331396000,,,,3.9,238.892,,,,,,,,,,1736,1.35,,,
11/1/2018,144.291680968882000,,,,3.6,237.511,,,,,,,,,,2011,1.44,,,
12/1/2018,144.192156046649000,,,,4.0,236.796,,1006.09,35.40%,165237,1.40%,,,,,1064,1.34,,,
1/1/2019,144.104591491667000,,63500,9458.539,4.9,238.218,709160.008,,,,,,,,,999,1.33,,,
2/1/2019,144.268701474954000,,,,4.5,239.669,,,,,,,,,,1171,1.22,,,
3/1/2019,143.900546110221000,,,,4.2,240.019,,,35.70%,165033,1.30%,,,,,911,1.10,,,
4/1/2019,144.165744087810000,,,,3.6,239.726,,,,,,,,,,2343,1.21,,,
5/1/2019,144.124959227898000,,,,3.4,241.758,,,,,,,,,,1780,1.20,,,
6/1/2019,144.387888507399000,,,,4.1,240.835,,,35.60%,164162,1.20%,,,,,1324,1.19,,,
7/1/2019,144.432184016931000,,,,4.1,241.589,,,,,,,,,,1854,1.05,,,
8/1/2019,144.422442936093000,,,,3.8,241.985,,,,,,,,,,1331,0.96,,,
9/1/2019,143.719229055275000,,,,3.3,242.393,,,35.50%,163797,1.30%,,,,,1099,0.74,,,
10/1/2019,144.269699221336000,,,,3.3,243.236,,,,,,,,,,1308,0.58,,,
11/1/2019,144.419652648232000,,,,3.2,242.661,,,,,,,,,,1628,0.22,,,
12/1/2019,145.127951932970000,,,,3.2,242.079,,,35.50%,163711,1.30%,,,,,1958,0.51,,,
1/1/2020,144.502990918611000,,,,3.8,244.361,,,,,,,,,,1107,,,,
2/1/2020,145.006754025576000,,,,3.6,244.407,,,,,,,,,,1131,,,,
3/1/2020,145.817373425940000,,,,4.5,242.655,,,,,,,,,,1704,,,,
4/1/2020,146.004515521144000,,,,17.3,240.364,,,,,,,,,,1077,,,,
5/1/2020,145.977059847398000,,,,15.3,242.650,,,,,,,,,,1032,,,,
6/1/2020,145.265519176574000,,,,15.5,243.475,,,,,,,,,,1090,,,,
7/1/2020,146.365134586038000,,,,12.1,244.046,,,,,,,,,,1542,,,,
8/1/2020,148.155264784975000,,,,11.8,244.341,,,,,,,,,,958,,,,
9/1/2020,150.444239875300000,,,,10.8,245.745,,,,,,,,,,1472,,,,
10/1/2020,,,,,7.2,245.584,,,,,,,,,,1464,,,,
11/1/2020,,,,,,244.610,,,,,,19216.182,,,,1240,,,,
